215,216,1.7,120,2000
216,217,1.1,120,2000
217,218,1.5,120,2000
218,220,2.1,120,2000
220,221,4.1,120,2000
221,-211,3.7,120,2000
-211,222,3.5,120,2000
222,223,6.6,120,2000
223,224,5.0,120,2000
224,225,7.2,120,2000
225,-261,8.6,120,2000
-261,299,1.8,120,2000
299,227,3.5,120,2000
227,228,2.4,120,2000
228,229,4.7,120,2000
229,230,6.1,120,2000
230,231,3.4,120,2000
231,232,3.7,120,2000
232,233,10.6,120,2000
233,232,10.6,120,2000
232,231,3.7,120,2000
231,230,3.4,120,2000
230,229,6.1,120,2000
229,228,4.7,120,2000
228,227,2.4,120,2000
227,299,3.5,120,2000
299,-262,1.8,120,2000
-262,225,8.6,120,2000
225,224,7.2,120,2000
224,223,5.0,120,2000
223,222,6.6,120,2000
222,-212,3.5,120,2000
-212,221,3.7,120,2000
221,220,4.1,120,2000
220,218,2.1,120,2000
218,217,1.5,120,2000
217,216,1.1,120,2000
216,215,1.7,120,2000
215,123,1.3,120,2000
123,215,1.3,120,2000
120,121,2.9,120,2000
121,-221,2.6,120,2000
-221,122,4.8,120,2000
122,123,2.0,120,2000
123,122,2.0,120,2000
122,-222,4.8,120,2000
-222,121,2.6,120,2000
121,120,2.9,120,2000
326,-351,7.0,120,2000
-351,324,7.4,120,2000
324,323,6.5,120,2000
323,322,6.4,120,2000
322,321,9.2,120,2000
321,-321,3.2,120,2000
-321,319,8.1,120,2000
319,-391,5.1,120,2000
-391,318,5.1,120,2000
318,317,3.5,120,2000
317,398,5.6,120,2000
398,406,2.4,120,2000
406,407,4.0,120,2000
407,408,5.0,120,2000
408,409,4.9,120,2000
409,411,8.1,120,2000
411,-411,5.0,120,2000
-411,412,2.5,120,2000
412,403,5.6,120,2000
403,404,1.2,120,2000
404,403,1.2,120,2000
403,412,5.6,120,2000
412,-412,2.5,120,2000
-412,411,5.0,120,2000
411,409,8.1,120,2000
409,408,4.9,120,2000
408,407,5.0,120,2000
407,406,4.0,120,2000
406,398,2.4,120,2000
398,317,5.6,120,2000
317,318,3.5,120,2000
318,-392,5.1,120,2000
-392,319,5.1,120,2000
319,-322,8.1,120,2000
-322,321,3.2,120,2000
321,322,9.2,120,2000
322,323,6.4,120,2000
323,324,6.5,120,2000
324,-352,7.4,120,2000
-352,326,7.0,120,2000
299,326,5.2,120,2000
326,299,5.2,120,2000
404,120,1.2,120,2000
120,404,1.2,120,2000
398,517,9.7,120,2000
517,516,1.5,120,2000
516,-531,2.8,120,2000
-531,599,4.0,120,2000
599,515,5.8,120,2000
515,514,1.9,120,2000
514,-541,2.5,120,2000
-541,513,2.2,120,2000
513,512,5.9,120,2000
512,-551,7.6,120,2000
-551,511,2.9,120,2000
511,510,4.6,120,2000
510,605,1.9,120,2000
605,606,3.6,120,2000
606,607,2.6,120,2000
607,717,5.1,120,2000
717,718,10.0,120,2000
718,719,5.9,120,2000
719,799,6.7,120,2000
799,720,3.9,120,2000
720,-111,7.5,120,2000
-112,720,7.5,120,2000
720,799,3.9,120,2000
799,719,6.7,120,2000
719,718,5.9,120,2000
718,717,10.0,120,2000
717,607,5.1,120,2000
607,606,2.6,120,2000
606,605,3.6,120,2000
605,510,1.9,120,2000
510,511,4.6,120,2000
511,-552,2.9,120,2000
-552,512,7.6,120,2000
512,513,5.9,120,2000
513,-542,2.2,120,2000
-542,514,2.5,120,2000
514,515,1.9,120,2000
515,599,5.8,120,2000
599,-532,408,120,2000
-532,516,2.8,120,2000
516,517,1.5,120,2000
517,398,9.7,120,2000
-111,117,6.4,120,2000
117,403,9.2,120,2000
403,117,9.2,120,2000
117,-112,6.4,120,2000
